"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.8117564164345e-189,11.9448679015494,0.336,0,2.82380355065481e-185,"HESX1"
1.41732478420405e-24,9.01489102910261,0.046,0,2.20904240866043e-20,"HRASLS2"
0,8.92430580817091,0.866,0.008,0,"CXCL11"
0,8.8391531065547,0.899,0.016,0,"CCL8"
1.80128649599504e-15,8.81418184749792,0.028,0,2.80748513265787e-11,"EDN1"
3.43675666708395e-84,8.67554657743225,0.16,0,5.35652894131704e-80,"CCNA1"
1.56791926742187e-21,8.54056690103077,0.04,0,2.44375897020373e-17,"BCL2L14"
7.41917651759518e-21,8.49786385420622,0.039,0,1.15635285203239e-16,"PDGFRL"
2.30711268425427e-56,8.1093090711579,0.111,0.001,3.59586582967871e-52,"NUPR1"
3.96973959299866e-14,7.91460867162943,0.025,0,6.18723612964771e-10,"CFB"
0,7.91377865436865,0.952,0.022,0,"CXCL10"
1.86255553546064e-13,7.89146820130146,0.024,0,2.90297905756895e-09,"RP11-274B18.2"
2.95538537431245e-134,7.86397893482825,0.25,0.001,4.60626364440339e-130,"NEXN"
8.45807089477069e-15,7.74133000606995,0.027,0,1.31827492965896e-10,"USP18"
0,7.72761157690048,0.954,0.026,0,"IFIT1"
0,7.56483146828264,0.961,0.026,0,"RSAD2"
4.09861592016604e-12,7.51633432059987,0.021,0,6.38810277317079e-08,"ABTB2"
0,7.47665401884649,0.929,0.025,0,"IFIT2"
4.43168128604733e-08,7.31590923386484,0.013,0,0.000690721845243337,"CH25H"
9.38993429871872e-09,7.31556681461498,0.015,0,0.00014635151597983,"OTOF"
